r [A]	U [eV]
9,04	-0,060833067
9,05	-0,060432913
9,06	-0,060035815
9,07	-0,059641746
9,08	-0,059250681
9,09	-0,058862594
9,1	-0,058477458
9,11	-0,058095249
9,12	-0,057715941
9,13	-0,057339509
9,14	-0,056965928
9,15	-0,056595174
9,16	-0,056227222
9,17	-0,055862049
9,18	-0,05549963
9,19	-0,055139942
9,2	-0,054782962
9,21	-0,054428666
9,22	-0,054077032
9,23	-0,053728037
9,24	-0,053381658
9,25	-0,053037873
9,26	-0,05269666
9,27	-0,052357997
9,28	-0,052021863
9,29	-0,051688235
9,3	-0,051357094
9,31	-0,051028417
9,32	-0,050702184
9,33	-0,050378374
9,34	-0,050056967
9,35	-0,049737942
9,36	-0,04942128
9,37	-0,049106961
9,38	-0,048794964
9,39	-0,048485271
9,4	-0,048177862
9,41	-0,047872717
9,42	-0,047569819
9,43	-0,047269148
9,44	-0,046970685
9,45	-0,046674412
9,46	-0,046380311
9,47	-0,046088364
9,48	-0,045798553
9,49	-0,045510859
9,5	-0,045225266
9,51	-0,044941756
9,52	-0,044660312
9,53	-0,044380916
9,54	-0,044103552
9,55	-0,043828203
9,56	-0,043554852
9,57	-0,043283483
9,58	-0,043014079
9,59	-0,042746624
9,6	-0,042481103
9,61	-0,042217499
9,62	-0,041955796
9,63	-0,041695979
9,64	-0,041438033
9,65	-0,041181941
9,66	-0,04092769
9,67	-0,040675264
9,68	-0,040424648
9,69	-0,040175827
9,7	-0,039928786
9,71	-0,039683512
9,72	-0,03943999
9,73	-0,039198205
9,74	-0,038958143
9,75	-0,038719792
9,76	-0,038483135
9,77	-0,038248161
9,78	-0,038014855
9,79	-0,037783204
9,8	-0,037553194
9,81	-0,037324812
9,82	-0,037098046
9,83	-0,036872882
9,84	-0,036649307
9,85	-0,036427308
9,86	-0,036206873
9,87	-0,03598799
9,88	-0,035770645
9,89	-0,035554827
9,9	-0,035340524
9,91	-0,035127722
9,92	-0,034916411
9,93	-0,034706579
9,94	-0,034498213
9,95	-0,034291302
9,96	-0,034085834
9,97	-0,033881798
9,98	-0,033679183
9,99	-0,033477977
10	-0,03327817
10,01	-0,033079749
10,02	-0,032882705
10,03	-0,032687026
10,04	-0,032492701
10,05	-0,032299721
10,06	-0,032108073
10,07	-0,031917749
10,08	-0,031728736
10,09	-0,031541026
10,1	-0,031354608
10,11	-0,031169471
10,12	-0,030985607
10,13	-0,030803004
10,14	-0,030621652
10,15	-0,030441543
10,16	-0,030262667
10,17	-0,030085013
10,18	-0,029908573
10,19	-0,029733336
10,2	-0,029559294
10,21	-0,029386438
10,22	-0,029214757
10,23	-0,029044243
10,24	-0,028874888
10,25	-0,028706681
10,26	-0,028539614
10,27	-0,028373679
10,28	-0,028208866
10,29	-0,028045168
10,3	-0,027882574
10,31	-0,027721078
10,32	-0,027560669
10,33	-0,027401341
10,34	-0,027243085
10,35	-0,027085892
10,36	-0,026929755
10,37	-0,026774665
10,38	-0,026620615
10,39	-0,026467595
10,4	-0,0263156
10,41	-0,02616462
10,42	-0,026014648
10,43	-0,025865677
10,44	-0,025717698
10,45	-0,025570705
10,46	-0,025424689
10,47	-0,025279644
10,48	-0,025135562
10,49	-0,024992435
10,5	-0,024850257
10,51	-0,024709021
10,52	-0,024568718
10,53	-0,024429343
10,54	-0,024290888
10,55	-0,024153346
10,56	-0,024016711
10,57	-0,023880975
10,58	-0,023746132
10,59	-0,023612176
10,6	-0,023479099
10,61	-0,023346894
10,62	-0,023215557
10,63	-0,023085079
10,64	-0,022955455
10,65	-0,022826678
10,66	-0,022698742
10,67	-0,022571641
10,68	-0,022445368
10,69	-0,022319917
10,7	-0,022195282
10,71	-0,022071458
10,72	-0,021948438
10,73	-0,021826216
10,74	-0,021704786
10,75	-0,021584142
10,76	-0,021464279
10,77	-0,021345191
10,78	-0,021226873
10,79	-0,021109317
10,8	-0,02099252
10,81	-0,020876475
10,82	-0,020761176
10,83	-0,020646619
10,84	-0,020532798
10,85	-0,020419707
10,86	-0,020307342
10,87	-0,020195696
10,88	-0,020084765
10,89	-0,019974543
10,9	-0,019865026
10,91	-0,019756207
10,92	-0,019648083
10,93	-0,019540647
10,94	-0,019433896
10,95	-0,019327823
10,96	-0,019222425
10,97	-0,019117695
10,98	-0,01901363
10,99	-0,018910225
11	-0,018807474
11,01	-0,018705373
11,02	-0,018603918
11,03	-0,018503103
11,04	-0,018402925
11,05	-0,018303378
11,06	-0,018204458
11,07	-0,01810616
11,08	-0,01800848
11,09	-0,017911414
11,1	-0,017814958
11,11	-0,017719106
11,12	-0,017623854
11,13	-0,017529199
11,14	-0,017435136
11,15	-0,01734166
11,16	-0,017248768
11,17	-0,017156455
11,18	-0,017064718
11,19	-0,016973552
11,2	-0,016882953
11,21	-0,016792917
11,22	-0,01670344
11,23	-0,016614519
11,24	-0,016526148
11,25	-0,016438325
11,26	-0,016351046
11,27	-0,016264306
11,28	-0,016178102
11,29	-0,01609243
11,3	-0,016007286
11,31	-0,015922667
11,32	-0,015838569
11,33	-0,015754988
11,34	-0,015671921
11,35	-0,015589363
11,36	-0,015507313
11,37	-0,015425765
11,38	-0,015344716
11,39	-0,015264164
11,4	-0,015184104
11,41	-0,015104533
11,42	-0,015025448
11,43	-0,014946844
11,44	-0,01486872
11,45	-0,014791071
11,46	-0,014713895
11,47	-0,014637187
11,48	-0,014560946
11,49	-0,014485167
11,5	-0,014409847
11,51	-0,014334983
11,52	-0,014260572
11,53	-0,014186611
11,54	-0,014113097
11,55	-0,014040026
11,56	-0,013967397
11,57	-0,013895204
11,58	-0,013823447
11,59	-0,013752121
11,6	-0,013681223
11,61	-0,013610751
11,62	-0,013540703
